Date,Price,Prediction,Low,High
2020-11-20,1870.49,1870.0472,1860.66,1879.98
2020-11-23,1835.85,1852.7365,1830.85,1876.72
2020-11-24,1807.51,1819.1407,1800.69,1839.26
2020-11-25,1805.3,1809.4623,1801.33,1817.98
2020-11-26,1810.57,1811.9454,1805.31,1818.78
2020-11-27,1788.13,1792.9987,1773.93,1813.81
2020-11-30,1777.02,1776.8956,1764.69,1789.99
2020-12-01,1814.87,1795.6005,1775.52,1817.55
2020-12-02,1831.01,1819.3634,1806.99,1832.65
2020-12-03,1840.36,1833.7086,1823.6,1844.45
2020-12-04,1837.61,1838.5189,1829.3,1848.26
2020-12-07,1863.69,1844.8295,1822.99,1868.76
2020-12-08,1871.36,1867.6354,1859.83,1875.79
2020-12-09,1839.11,1847.4977,1825.71,1871.37
2020-12-10,1835.31,1839.092,1828.48,1850.4
2020-12-11,1839.03,1835.6615,1824.23,1847.89
2020-12-14,1827.17,1829.6002,1819.92,1839.86
2020-12-15,1853.46,1839.927,1825.29,1855.76
2020-12-16,1864.15,1855.1405,1844.75,1866.2
2020-12-17,1885.87,1878.3298,1861.83,1896.26
2020-12-18,1880.66,1883.3392,1876.97,1889.88
2020-12-21,1876.21,1880.6327,1856.69,1906.93
2020-12-22,1859.56,1871.2052,1858.73,1884.61
2020-12-23,1872.08,1868.2974,1858.59,1878.59
2020-12-24,1876.56,1875.9459,1869.52,1882.55
2020-12-25,1875.82,1877.3619,1877.07,1877.07
2020-12-28,1871.19,1884.2457,1869.21,1900.53
2020-12-29,1877.99,1878.7762,1870.99,1886.91
2020-12-30,1893.37,1884.6135,1875.66,1894.06
2020-12-31,1893.81,1892.8322,1885.55,1900.4
