Date,Price,High,Low,BTC_Price,SP_Price
2010-01-01,1097.35,1097.9,1097.05,10.9,1132.99
2010-01-04,1120.4,1123.8,1093.45,10.9,1132.99
2010-01-05,1119.05,1128.1,1115.25,10.9,1136.52
2010-01-06,1138.9,1140.6,1116.0,10.9,1137.14
2010-01-07,1132.3,1139.15,1128.6,10.9,1141.69
2010-01-08,1136.6,1139.8,1119.95,10.9,1144.98
2010-01-11,1153.0,1161.9,1137.2,10.9,1146.98
2010-01-12,1127.7,1158.4,1125.35,10.9,1136.22
2010-01-13,1138.8,1138.85,1119.75,10.9,1145.68
2010-01-14,1143.25,1146.65,1131.15,10.9,1148.46
2010-01-15,1130.9,1146.6,1127.5,10.9,1136.03
2010-01-18,1133.0,1137.55,1126.75,10.9,1150.23
2010-01-19,1138.1,1140.8,1129.0,10.9,1150.23
2010-01-20,1111.7,1141.6,1107.4,10.9,1138.04
2010-01-21,1095.15,1117.85,1088.7,10.9,1116.48
2010-01-22,1093.0,1099.15,1082.3,10.9,1091.76
2010-01-25,1098.25,1104.2,1091.05,10.9,1096.78
2010-01-26,1098.05,1103.55,1085.8,10.9,1092.17
2010-01-27,1086.85,1102.7,1083.65,10.9,1097.5
2010-01-28,1086.3,1096.35,1074.15,10.9,1084.53
2010-01-29,1081.55,1090.6,1074.85,10.9,1073.87
2010-02-01,1107.35,1107.9,1076.8,10.9,1089.19
2010-02-02,1115.2,1118.35,1099.0,10.9,1103.32
2010-02-03,1109.65,1124.85,1107.2,10.9,1097.28
2010-02-04,1063.45,1111.1,1059.5,10.9,1063.11
2010-02-05,1065.45,1069.15,1044.25,10.9,1066.19
2010-02-08,1063.75,1073.9,1061.9,10.9,1056.74
2010-02-09,1077.3,1083.45,1061.8,10.9,1070.52
2010-02-10,1072.85,1082.5,1063.5,10.9,1068.13
2010-02-11,1095.35,1098.15,1071.35,10.9,1078.47
2010-02-12,1093.4,1097.35,1078.55,10.9,1075.51
2010-02-15,1101.0,1102.65,1092.0,10.9,1094.87
2010-02-16,1119.95,1121.2,1097.85,10.9,1094.87
2010-02-17,1115.2,1127.25,1111.7,10.9,1099.51
2010-02-18,1123.9,1124.05,1098.2,10.9,1106.75
2010-02-19,1118.85,1126.95,1098.95,10.9,1109.17
2010-02-22,1113.7,1131.05,1109.7,10.9,1108.01
2010-02-23,1102.05,1121.2,1099.35,10.9,1094.6
2010-02-24,1096.4,1108.35,1089.85,10.9,1105.24
2010-02-25,1106.1,1109.15,1088.6,10.9,1102.94
2010-02-26,1116.5,1119.2,1104.4,10.9,1104.49
2010-03-01,1117.35,1123.7,1112.05,10.9,1115.71
2010-03-02,1134.65,1137.75,1115.1,10.9,1118.31
2010-03-03,1139.5,1145.0,1132.4,10.9,1118.79
2010-03-04,1132.0,1141.6,1126.1,10.9,1122.97
2010-03-05,1132.05,1140.7,1127.0,10.9,1138.7
2010-03-08,1122.4,1137.8,1118.55,10.9,1138.5
2010-03-09,1120.1,1124.7,1108.95,10.9,1140.45
2010-03-10,1108.2,1128.15,1103.25,10.9,1145.61
2010-03-11,1109.45,1111.65,1100.44,10.9,1150.24
2010-03-12,1102.45,1119.45,1098.65,10.9,1149.99
2010-03-15,1109.1,1109.8,1100.35,10.9,1150.51
2010-03-16,1125.7,1129.45,1109.05,10.9,1159.46
2010-03-17,1125.05,1133.8,1118.85,10.9,1166.21
2010-03-18,1125.95,1129.55,1118.4,10.9,1165.83
2010-03-19,1107.55,1127.5,1101.95,10.9,1159.9
2010-03-22,1102.3,1108.85,1092.75,10.9,1165.81
2010-03-23,1102.65,1108.05,1094.8,10.9,1174.17
2010-03-24,1087.5,1105.4,1085.35,10.9,1167.72
2010-03-25,1091.35,1095.95,1085.45,10.9,1165.73
2010-03-26,1106.6,1110.65,1088.85,10.9,1166.59
2010-03-29,1109.2,1115.45,1104.35,10.9,1173.22
2010-03-30,1103.6,1114.15,1102.45,10.9,1173.27
