Date,SP_Price,Open,High,Low,Vol.,Change %
31-Dec-20,"3,741.72","3,730.90","3,744.17","3,726.61",-,0.26%
30-Dec-20,"3,732.04","3,736.19","3,744.63","3,730.21",-,0.13%
29-Dec-20,"3,727.04","3,750.01","3,756.12","3,723.31",-,-0.22%
28-Dec-20,"3,735.36","3,723.03","3,740.51","3,723.03",-,0.87%
24-Dec-20,"3,703.06","3,694.03","3,703.82","3,689.32",-,0.35%
23-Dec-20,"3,690.01","3,693.42","3,711.24","3,689.28",-,0.07%
22-Dec-20,"3,687.26","3,698.08","3,698.26","3,676.16",-,-0.21%
21-Dec-20,"3,694.92","3,684.28","3,702.90","3,636.48",-,-0.39%
18-Dec-20,"3,709.41","3,722.39","3,726.70","3,685.84",-,-0.35%
17-Dec-20,"3,722.48","3,713.65","3,725.12","3,710.87",-,0.58%
16-Dec-20,"3,701.17","3,696.25","3,711.27","3,688.57",-,0.18%
15-Dec-20,"3,694.62","3,666.41","3,695.29","3,659.62",-,1.29%
14-Dec-20,"3,647.49","3,675.27","3,697.61","3,645.84",-,-0.44%
11-Dec-20,"3,663.46","3,656.08","3,665.91","3,633.40",-,-0.13%
10-Dec-20,"3,668.10","3,659.13","3,678.49","3,645.18",-,-0.13%
9-Dec-20,"3,672.82","3,705.98","3,712.39","3,660.54",-,-0.79%
8-Dec-20,"3,702.25","3,683.05","3,708.45","3,678.83",-,0.28%
7-Dec-20,"3,691.96","3,694.73","3,697.41","3,678.88",-,-0.19%
4-Dec-20,"3,699.12","3,670.94","3,699.20","3,670.94",-,0.88%
3-Dec-20,"3,666.72","3,668.28","3,682.73","3,657.17",-,-0.06%
2-Dec-20,"3,669.01","3,653.78","3,670.96","3,644.84",-,0.18%
1-Dec-20,"3,662.45","3,645.87","3,678.45","3,645.87",-,1.13%
30-Nov-20,"3,621.63","3,634.18","3,634.18","3,594.39",-,-0.46%
27-Nov-20,"3,638.35","3,638.55","3,644.31","3,629.33",-,0.24%
25-Nov-20,"3,629.65","3,635.50","3,635.50","3,617.76",-,-0.16%
24-Nov-20,"3,635.41","3,594.52","3,642.31","3,594.52",-,1.62%
23-Nov-20,"3,577.59","3,566.82","3,589.81","3,552.77",-,0.56%
20-Nov-20,"3,557.54","3,579.31","3,581.23","3,556.85",-,-0.68%
19-Nov-20,"3,581.87","3,559.41","3,585.22","3,543.84",-,0.39%
18-Nov-20,"3,567.79","3,612.09","3,619.09","3,567.33",-,-1.16%
17-Nov-20,"3,609.53","3,610.31","3,623.11","3,588.68",-,-0.48%
16-Nov-20,"3,626.91","3,600.16","3,628.51","3,600.16",-,1.16%
